uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,note,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:boormethode,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.boormethode,,boormethodes,boormethodes,,,,,,,Beschrijving welke procedure werd gevolgd bij de bemonstering.,,,,,,,,,,,,,
collectie:boormethodes,be.vlaanderen.bodemenondergrond.data.id.collection.boormethode.boormethodes,,collectie_boormethodes,Collectie van boormethodes,,,,,,,,,,,,,conceptscheme:boormethode,,,,,,,
concept:onbekend,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.onbekend,collectie:boormethodes,onbekend,onbekend,,,,,,,Het is niet gekend hoe het object bemonsterd werd. Deze optie wordt vooral gebruikt bij het ingeven van (oude) archiefdata waar de boormethode niet gedocumenteerd werd.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:handboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.handboring,collectie:boormethodes,handboring,handboring,,,,,,,"Boormethode waarbij een apparaat met de hand wordt bediend en door draaien of drukken dieper de grond in wordt gedreven.","Definitie overgenomen van Basis Registratie Ondergrond (https://docs.geostandaarden.nl/bro/def-im-bhr-g-20230607/#detail_class_Model_Boortechniek).",,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:edelmanboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.edelmanboring,collectie:boormethodes,edelmanboring,edelmanboring,,concept:handboring,,,,,Handboring uitgevoerd met een edelmanboor voor geroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:riversideboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.riversideboring,collectie:boormethodes,riversideboring,riversideboring,,concept:handboring,,,,,Handboring uitgevoerd met een riversideboor voor geroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:grindboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.grindboring,collectie:boormethodes,grindboring,grindboring,,concept:handboring,,,,,Handboring uitgevoerd met een grindboor voor staalname van harde en/of puinrijke gronden.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:gutsboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.gutsboring,collectie:boormethodes,gutsboring,gutsboring,,concept:handboring,,,,,Handboring uitgevoerd door de guts zo verticaal mogelijk in de grond te drukken of hameren voor minimaal geroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:handpulsboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.handpulsboring,collectie:boormethodes,handpulsboring,handpulsboring,,concept:handboring,,,,,Handboring uitgevoerd met een pulsboor voor geroerde staalname om niet-gedetailleerde boorbeschrijvingen uit te voeren.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:handsteekboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.handsteekboring,collectie:boormethodes,handsteekboring,handsteekboring,,concept:handboring,,,,,Handboring uitgevoerd met een steekboor voorzien van een staalnamebuis (liner) die in de grond wordt geduwd voor (semi) ongeroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:handlepelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.handlepelboring,collectie:boormethodes,handlepelboring,handlepelboring,,concept:handboring,,,,,Handboring uitgevoerd met een lepelboor voor (semi) geroerde staalname.,Definitie overgenomen van Basis Registratie Ondergrond (https://docs.geostandaarden.nl/bro/def-im-bhr-g-20230607/#detail_class_Model_Boortechniek).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:spiraalboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.spiraalboring,collectie:boormethodes,spiraalboring,spiraalboring,handavegaarboring,concept:handboring,,,,,Handboring uitgevoerd met een schroef voor geroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:zuigerboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.zuigerboring,collectie:boormethodes,zuigerboring,zuigerboring,vanderstaayboring,concept:handboring,,,,,Handboring uitgevoerd met een zuigerboor voorzien van een roestvrij stalen steekbuis voor ongeroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf). Beschrijving in CMA/1/A.4 - Apparatuur en materiaal (https://reflabos.vito.be/2024/CMA_1_A.4.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:veenboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.veenboring,collectie:boormethodes,veenboring,veenboring,,concept:handboring,,,,,Handboring uitgevoerd met een veenboor voor (semi) geroerde staalname.,Beschrijving in CMA/1/A.4 - Apparatuur en materiaal (https://reflabos.vito.be/2024/CMA_1_A.4.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:vrijwitboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.vrijwitboring,collectie:boormethodes,vrijwitboring,vrijwitboring,,concept:handboring,,,,,Handboring uitgevoerd met een vrijwitboor voor ongeroerde staalname om de gelaagdheid en samenstelling van een bodem te beschrijven.,Beschrijving in CMA/1/A.4 - Apparatuur en materiaal (https://reflabos.vito.be/2024/CMA_1_A.4.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:meerderetechnieken,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.meerderetechnieken,collectie:boormethodes,meerderetechnieken,meerdere technieken,,,,,,,"Boring waarbij verschillende boormethoden gecombineerd werden tijdens de uitvoering,",,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:geenboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.geenboring,collectie:boormethodes,geenboring,geen boring,,,,,,,"Deze boormethode wordt gebruikt om objecten te beschrijven die niet bemonsterd werden d.m.v. een boring. Het kan gaan om een voorput, profiel, een groeve of een ontsluiting.",,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:graafmachine,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.graafmachine,collectie:boormethodes,graafmachine,graafmachine,,concept:geenboring,,,,,Deze boormethode wordt gebruikt om objecten te beschrijven die bemonsterd werden d.m.v. een graafmachine.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:spade,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.spade,collectie:boormethodes,spade,spade,,concept:geenboring,,,,,Deze boormethode wordt gebruikt om objecten te beschrijven die bemonsterd werden d.m.v. een spade.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:spoelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.spoelboring,collectie:boormethodes,spoelboring,spoelboring,,,,,,,"De spoelboring is, behalve de eerste meters, een onverbuisde boortechniek waarbij met een roterende getande boorbeitel die bevestigd is aan een holle boorbuis, de grond wordt losgemaakt. Het losgeboorde materiaal wordt door middel van een vloeistof naar boven getransporteerd. Deze vloeistof of spoeling dient niet alleen om het losgeboorde materiaal te verwijderen, maar ook om de boorgatwand stabiel te houden. Men maakt een onderscheid tussen verschillende spoelboringen afhankelijk van de manier waarop de spoeling circuleert.",Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/). Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:directespoelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.directespoelboring,collectie:boormethodes,directespoelboring,directespoelboring,"directe spoelboring, direct flush, straight flush, spuitboring",concept:spoelboring,,,,,"Bij een directe spoelboring verloopt de neerwaartse watertoevoer via de boorstangen en de bij de boring vrijkomende grond wordt omhoog getransporteerd via de ruimte tussen de boorstangen en de boorwand, de zogenaamde annulaire ruimte.",Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/). Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:omgekeerdespoelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.omgekeerdespoelboor,collectie:boormethodes,omgekeerdespoelboring,omgekeerde spoelboring,zuigboring,concept:spoelboring,,,,,Bij een omgekeerde spoelboring verloopt de wateraanvoer via de annulaire ruimte en komt de vrijgekomen grond omhoog door de boorstangen.,Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/). Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:luchthevel,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.luchthevel,collectie:boormethodes,luchthevel,luchthevelboring, air-lift boring,concept:spoelboring,,,,,Bij de luchthevelboring gebeurt het opwaarts transport van de boorspecie doorheen de concentrische annulaire ruimte van de dubbelwandige boorstangen. De opwaartse stroming wordt in stand gebracht door lucht via een compressor te injecteren net boven de beitel.,Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/). Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:rollerbit,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.rollerbit,collectie:boormethodes,rollerbit,rollerbit,"spoelboring met rollerbit, spoelboring met rollenbeitel",concept:spoelboring,,,,,"Boring uitgevoerd met een mechanisch aangedreven rollenbeitel door harde ondergrond,",Beschrijving Techniek Verticale boringen (https://smetgroup.be/wp-content/uploads/techniek_verticale_boringen.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:lans,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.lans,collectie:boormethodes,lans,lansen,"spuitlans, waterslang",concept:spoelboring,,,,,Lansen is een machinale boortechniek waarbij door water onder hogedruk in de grond te spuiten de grond wordt losgemaakt. Gelijktijdig wordt vaak een buis in het losse materiaal van het boorgat geduwd om het boorgat open te houden.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:machinaleboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.machinaleboring,collectie:boormethodes,machinaleboring,machinale boring,,,,,,,Machinaal uitgevoerde boring.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:drogeboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.drogeboring,collectie:boormethodes,drogeboring,drogeboring,,concept:machinaleboring,,,,,Machinaal uitgevoerde boring uitgevoerd zonder het gebruik van spoelvloeistof.,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:avegaarboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.avegaarboring,collectie:boormethodes,avegaarboring,avegaarboring,"volle avegaarboring, gewone avegaarboring, machinale spiraalboring",concept:drogeboring,,,,,De volle of gewone avegaarboring wordt uitgevoerd met een machinaal aangedreven spiraalboor (schroef). De grond wordt los gefreesd door een schroef die ook instaat  voor het transport van de grond naar het maaiveld.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:lepelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.lepelboring,collectie:boormethodes,lepelboring,lepelboring,,concept:drogeboring,,,,,Boring uitgevoerd met een lepelboor die machinaal in de grond wordt gedreven. ,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:trilboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.trilboring,collectie:boormethodes,trilboring,trilboring,,concept:drogeboring,,,,,Boring waarbij de boorstang machinaal in de grond wordt getrild.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:sonischeboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.sonischeboring,collectie:boormethodes,sonischeboring,roto-sonische boring,sonische boring,concept:trilboring,,,,,De (roto) sonische boring is een trilboring waarbij de boorstang onder hoogfrequente trilling al dan niet roterend in de grond wordt gebracht.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf). Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:slagboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.slagboring,collectie:boormethodes,slagboring,slagboring,,concept:drogeboring,,,,,"Boring waarbij middels slagen op de boorstang, deze in de ondergrond ingebracht wordt. ",Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:ramguts,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.ramguts,collectie:boormethodes,ramguts,ramguts,,concept:slagboring,,,,,Boring uitgevoerd met een gutsboor die machinaal met een slaghamer in de grond wordt gedreven. ,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:ramkernboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.ramkernboring,collectie:boormethodes,ramkernboring,ramkernboring,holle avegaarboring,concept:slagboring,,,,,"Boring uitgevoerd met een machinaal aangedreven spiraalboor (schroef) rond een holle binnenbuis om op de bereikte diepte een monster te nemen m.b.v. een ramguts, steekbus, staalnamebuis, of een peilbuis te plaatsen. Een valgewicht hamert een binnenbuis, voorzien van een staalnamebuis tot op diepte.",Bron: Afdeling Geotechniek (VO). Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:gestokenboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.gestokenboring,collectie:boormethodes,gestokenboring,gestoken boring,steekboring,concept:slagboring,,,,,Boring uitgevoerd met een machinaal aangedreven steekboor voorzien van een staalnamebuis die in de grond wordt geslagen voor (semi) ongeroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:kernboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.kernboring,collectie:boormethodes,kernboring,kernboring,"rotary kernboring, kroonboring",concept:machinaleboring,,,,,"Boring uitgevoerd met een kernboor, (rotary kernboor, kroonboor) of steenboor waarbij  boorkernen als stalen van de ondergrond bekomen worden.",Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:pulsboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.pulsboring,collectie:boormethodes,pulsboring,pulsboring,"pulsinstallatie, counterflushboring",concept:machinaleboring,,,,,Boring uitgevoerd met een machinaal aangedreven pulsboor.,Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:diagrafieboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.diagrafieboring,collectie:boormethodes,diagrafieboring,diagrafieboring,,concept:machinaleboring,,,,,Destructieve boring waarbij tijdens het boren de boorparameters (zoals boorsnelheid) geregistreerd worden om zo heterogene variaties in de ondergrond vast te leggen.,Beschrijving Techniek Verticale boringen (https://smetgroup.be/wp-content/uploads/techniek_verticale_boringen.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:grijperboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.grijperboring,collectie:boormethodes,grijperboring,grijperboring,,concept:machinaleboring,,,,,"Dit is een methode die meestal wordt aangewend voor het aanleggen van waterwinningen met zeer grote diameter en in zeer grof materiaal, zoals dit het geval is in bv. de maasgrinden. Hierbij wordt een grote casing door middel van een oscillatiebeweging (schudkader) in de grond gedreven die vervolgens, zoals bij het pulsen, aan de binnenkant wordt leeggemaakt d.m.v. een grijper aan een kabelkraan. Als de casing tot in de watervoerende laag gedreven is en leeggemaakt, wordt in het midden ervan de putuitrusting geplaatst, die met het nodige grindpakket wordt omgeven, terwijl stelselmatig de casing wordt teruggetrokken.",Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:hamerboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.hamerboring,collectie:boormethodes,hamerboring,hamerboring,"luchthamer, steenboring",concept:machinaleboring,,,,,"Boring uitgevoerd met een machinaal aangedreven steenboor, hamer of luchthamer door harde ondergrond.",Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
